the work well the only setback be the notifications. i should be able to get all of them include the one from the desktop version.,f
what s wrong with the web version? and i hate be continually pressure into have the . just take a no for a no please!,f
google. crome,f
oh so invite,f
taberah enterprise trading,f
when look at contact friend it will go white so i can see anything to add people.,f
this have no real content for employment. resume company s and contact information not make available for the employer or the job seeker. this be now know as central intelligence profile pilot program. cippp be aware your privacy have be violated.,f
wish all feature be free though,f
should have all option as website. actually the website need more improvements.,f
just not great. can never get to item in notifications.,f
ahmed bin shafaat,f
bakwa ..!!!need much more improvement,f
its very good link if u know how to use.,f
a prestigious information,f
develope this please,f
i will have a better report soon,f
p,f
how to disable vibration. ..it disturb many times. ..,f
i want to give a recommendation to my colleague but there be no option exist to edit or to type. i have to cme back to website again.,f
mrs c .dunne,f
s allow you can also best,f
it s good ..however to give or accept recommendation still need to login to laptop..can this feature can be add in pls,f
what about tablet should i keep read the same small font even i have a big screen? please consider table optimization. thanks.,f
classify own on google,f
indi colour print,f
very comfortable,f
hep of option be not available in the but they be via the website. please inprove and make better!,f
good but a few improvement shud be do,f
hi. i be not a robot. please do something with this.,f
do not work on huawei p8 lite,f
biggest fault in this please send me your email id ..i explain to you,f
add night modedark theme,f
five to the power of infinitykeep it up,f
hey mr sexy man,f
if devs can please add an easy way to reply to connection request without accept that would be great. it help to ask recruiter why before accepting.,f
please get it you would regret it.,f
ui ux improvement need,f
i wish i can rate it lower than 1 star it never get past the recaptcha even after multiple verification,f
if we can add the recommendation feature!!,f
can t save volunteer option,f
many improvement from few week,f
well aa simple as i accept colleague and when i go to the i have the same request pend once and again over and over,f
management,f
field management,f
we can search best option here this be a best place for make your future.,f
an innovative way of connect to person place event &amp; information at your own option and choicenice !,f
keep add new feature on mobile,f
please add option for vibrate on and off thanks.,f
can u add the ability to unfriend and to recommend? thx,f
ui should free up a bit more. not all possible option of be accessible through this .,f
high pricacy risk,f
annoying option come up to add everyone in my contact,f
can have better mobile friendly feature,f
fight,f
management,f
management,f
please add foundryiron casting industry for industry list i will give 5 star if you bring it p,f
